Page,Column,transcription,Points,quoc_ngu_groundtruth,Chữ Quốc Ngữ,transcription_list,quoc_ngu_groundtruth_list
119,1,孟子曰,"[(312, 64), (344, 190)]",mạnh tử viết,20 Mạnh Tử Viết,"['孟', '子', '曰']","['mạnh', 'tử', 'viết']"
119,2,󰑼之教人射,"[(265, 67), (302, 282)]",nghệ chi giáo dân xạ,Nghệ Chi Giáo Dân Xạ,"['\U000f047c', '之', '教', '人', '射']","['nghệ', 'chi', 'giáo', 'dân', 'xạ']"
119,3,志於斅,"[(220, 71), (254, 236)]",tất chí ư cấu,Tất Chí Ư Cấu,"['志', '於', '斅']","['tất', 'chí', 'ư', 'cấu']"
119,4,學者亦志於榖,"[(172, 66), (212, 372)]",học giả diệc tất chí ư cấu,Học Giả Diệc Tất Chí Ư Cấu,"['學', '者', '亦', '志', '於', '榖']","['học', 'giả', 'diệc', 'tất', 'chí', 'ư', 'cấu']"
119,5,大匠誨人必以規短,"[(130, 70), (168, 458)]",đại tượng hối nhân tất dĩ qui củ,Đại Tượng Hối Nhân Tất Dĩ Qui Củ,"['大', '匠', '誨', '人', '必', '以', '規', '短']","['đại', 'tượng', 'hối', 'nhân', 'tất', 'dĩ', 'qui', 'củ']"
119,6,學者亦以親短,"[(88, 69), (121, 370)]",học giả diệc tất dĩ qui củ,Học Giả Diệc Tất Dĩ Qui Củ,"['學', '者', '亦', '以', '親', '短']","['học', 'giả', 'diệc', 'tất', 'dĩ', 'qui', 'củ']"
121,0,第十二章告子下,"[(354, 102), (394, 415)]",đệ thập nhị chương cáo tử hạ,Đệ Thập Nhị Chương Cáo Tử Hạ,"['第', '十', '二', '章', '告', '子', '下']","['đệ', 'thập', 'nhị', 'chương', 'cáo', 'tử', 'hạ']"
121,1,任人有悶屋虚子曰,"[(305, 60), (351, 412)]",nhâm nhân hữu vấn ốc lư tử viết,1 Nhâm Nhân Hữu Vấn Ốc Lư Tử Viết,"['任', '人', '有', '悶', '屋', '虚', '子', '曰']","['nhâm', 'nhân', 'hữu', 'vấn', 'ốc', 'lư', 'tử', 'viết']"
121,2,禮期食執重,"[(265, 62), (304, 278)]",lễ dữ thực thục trọng,Lễ Dữ Thực Thục Trọng,"['禮', '期', '食', '執', '重']","['lễ', 'dữ', 'thực', 'thục', 'trọng']"
121,3,曰禮重,"[(227, 64), (257, 190)]",viết lễ trọng,Viết Lễ Trọng,"['曰', '禮', '重']","['viết', 'lễ', 'trọng']"
121,4,色與禮執重,"[(178, 67), (213, 286)]",sắc dữ lễ thục trọng,Sắc Dữ Lễ Thục Trọng,"['色', '與', '禮', '執', '重']","['sắc', 'dữ', 'lễ', 'thục', 'trọng']"
121,5,曰禮重,"[(136, 59), (173, 190)]",viết lễ trọng,Viết Lễ Trọng,"['曰', '禮', '重']","['viết', 'lễ', 'trọng']"
121,6,曰以禮食則󰟘兒死,"[(88, 71), (127, 410)]",viết dĩ lễ thực tắc cơ nhi tử,Viết Dĩ Lễ Thực Tắc Cơ Nhi Tử,"['曰', '以', '禮', '食', '則', '\U000f07d8', '兒', '死']","['viết', 'dĩ', 'lễ', 'thực', 'tắc', 'cơ', 'nhi', 'tử']"
121,7,不以禮食則得食,"[(44, 67), (79, 368)]",bất dĩ lễ thực tắc đắc thực,Bất Dĩ Lễ Thực Tắc Đắc Thực,"['不', '以', '禮', '食', '則', '得', '食']","['bất', 'dĩ', 'lễ', 'thực', 'tắc', 'đắc', 'thực']"
123,0,冷以禮乎,"[(351, 60), (390, 239)]",tất dĩ lễ hồ,Tất Dĩ Lễ Hồ,"['冷', '以', '禮', '乎']","['tất', 'dĩ', 'lễ', 'hồ']"
123,1,親迎則不得妻,"[(306, 58), (345, 319)]",thân nghênh tắc bất đắc thê,Thân Nghênh Tắc Bất Đắc Thê,"['親', '迎', '則', '不', '得', '妻']","['thân', 'nghênh', 'tắc', 'bất', 'đắc', 'thê']"
123,2,不親迎則得妻,"[(258, 59), (302, 321)]",bất thân nghênh tắc đắc thê,Bất Thân Nghênh Tắc Đắc Thê,"['不', '親', '迎', '則', '得', '妻']","['bất', 'thân', 'nghênh', 'tắc', 'đắc', 'thê']"
123,3,必親迎乎,"[(220, 63), (253, 231)]",tất thân nghênh hồ,Tất Thân Nghênh Hồ,"['必', '親', '迎', '乎']","['tất', 'thân', 'nghênh', 'hồ']"
123,4,屋盧子不能對,"[(174, 60), (211, 317)]",ốc lư tử bất năng đối,Ốc Lư Tử Bất Năng Đối,"['屋', '盧', '子', '不', '能', '對']","['ốc', 'lư', 'tử', 'bất', 'năng', 'đối']"
123,5,明日之鄒以告孟子,"[(127, 61), (167, 405)]",minh nhật chi trâu dĩ cáo mạnh tử,Minh Nhật Chi Trâu Dĩ Cáo Mạnh Tử,"['明', '日', '之', '鄒', '以', '告', '孟', '子']","['minh', 'nhật', 'chi', 'trâu', 'dĩ', 'cáo', 'mạnh', 'tử']"
123,6,孟子曰,"[(85, 58), (123, 185)]",mạnh tử viết,Mạnh Tử Viết,"['孟', '子', '曰']","['mạnh', 'tử', 'viết']"
123,7,於答是也何有青,"[(38, 58), (78, 317)]",ư đáp thị dã hà hữu,Ư Đáp Thị Dã Hà Hữu,"['於', '答', '是', '也', '何', '有', '青']","['ư', 'đáp', 'thị', 'dã', 'hà', 'hữu']"
125,0,不瑞其本而齊其耒,"[(356, 60), (392, 452)]",bất sủy kỳ bổn nhi tề kỳ bổn,Bất Sủy Kỳ Bổn Nhi Tề Kỳ Bổn,"['不', '瑞', '其', '本', '而', '齊', '其', '耒']","['bất', 'sủy', 'kỳ', 'bổn', 'nhi', 'tề', 'kỳ', 'bổn']"
125,1,方寸之末可之,"[(311, 62), (348, 496)]",phương thốn chi mộc khả sử cao ư sầm lâu,Phương Thốn Chi Mộc Khả Sử Cao Ư Sầm Lâu,"['方', '寸', '之', '末', '可', '之']","['phương', 'thốn', 'chi', 'mộc', 'khả', 'sử', 'cao', 'ư', 'sầm', 'lâu']"
125,2,金重於羽者,"[(266, 56), (303, 270)]",kim trọng ư vũ giả,Kim Trọng Ư Vũ Giả,"['金', '重', '於', '羽', '者']","['kim', 'trọng', 'ư', 'vũ', 'giả']"
125,3,宣謂丿金,"[(220, 57), (259, 273)]",khởi vị nhất câu kim,Khởi Vị Nhất Câu Kim,"['宣', '謂', '丿', '金']","['khởi', 'vị', 'nhất', 'câu', 'kim']"
125,4,興丿興羽之謂哉,"[(179, 57), (215, 368)]",dữ nhất dư vũ chi vị tai,Dữ Nhất Dư Vũ Chi Vị Tai,"['興', '丿', '興', '羽', '之', '謂', '哉']","['dữ', 'nhất', 'dư', 'vũ', 'chi', 'vị', 'tai']"
125,5,取食之重者,"[(133, 59), (170, 270)]",thủ thực chi trọng giả,Thủ Thực Chi Trọng Giả,"['取', '食', '之', '重', '者']","['thủ', 'thực', 'chi', 'trọng', 'giả']"
125,6,典禮之輕者,"[(88, 56), (125, 272)]",dữ lễ chi khinh giả,Dữ Lễ Chi Khinh Giả,"['典', '禮', '之', '輕', '者']","['dữ', 'lễ', 'chi', 'khinh', 'giả']"
125,7,而北之奚拠食重同,"[(45, 62), (80, 386)]",nhi tỷ hề chi sí thực trọng,Nhi Tỷ Hề Chi Sí Thực Trọng,"['而', '北', '之', '奚', '拠', '食', '重', '同']","['nhi', 'tỷ', 'hề', 'chi', 'sí', 'thực', 'trọng']"
127,0,取色之重者,"[(352, 59), (389, 273)]",thủ sắc chi trọng giả,Thủ Sắc Chi Trọng Giả,"['取', '色', '之', '重', '者']","['thủ', 'sắc', 'chi', 'trọng', 'giả']"
127,1,典禮之輕者,"[(309, 57), (345, 269)]",dữ lễ chi khinh giả,Dữ Lễ Chi Khinh Giả,"['典', '禮', '之', '輕', '者']","['dữ', 'lễ', 'chi', 'khinh', 'giả']"
127,2,而北之奚𦑃色重,"[(268, 64), (300, 371)]",nhi tỷ chi hề sí sắc trọng,Nhi Tỷ Chi Hề Sí Sắc Trọng,"['而', '北', '之', '奚', '𦑃', '色', '重']","['nhi', 'tỷ', 'chi', 'hề', 'sí', 'sắc', 'trọng']"
127,3,徃應之曰,"[(212, 52), (266, 230)]",vãng ứng chi viết,Vãng Ứng Chi Viết,"['徃', '應', '之', '曰']","['vãng', 'ứng', 'chi', 'viết']"
127,4,参兄之階而奪之食,"[(173, 56), (213, 405)]",chẩn huynh chi tý nhi đoạt chi thực,Chẩn Huynh Chi Tý Nhi Đoạt Chi Thực,"['参', '兄', '之', '階', '而', '奪', '之', '食']","['chẩn', 'huynh', 'chi', 'tý', 'nhi', 'đoạt', 'chi', 'thực']"
127,5,則得食,"[(127, 57), (168, 187)]",tắc đắc thực,Tắc Đắc Thực,"['則', '得', '食']","['tắc', 'đắc', 'thực']"
127,6,不㐱則不得食,"[(84, 54), (126, 320)]",bất chẩn tắc bất đắc thực,Bất Chẩn Tắc Bất Đắc Thực,"['不', '㐱', '則', '不', '得', '食']","['bất', 'chẩn', 'tắc', 'bất', 'đắc', 'thực']"
127,7,則將㐱之乎,"[(41, 58), (76, 274)]",tắc tương chẩn chi hồ,Tắc Tương Chẩn Chi Hồ,"['則', '將', '㐱', '之', '乎']","['tắc', 'tương', 'chẩn', 'chi', 'hồ']"
129,0,踰東家墻而㨿其處子,"[(354, 70), (393, 466)]",du đông gia tường nhi lâu kỳ xử tử,Du Đông Gia Tường Nhi Lâu Kỳ Xử Tử,"['踰', '東', '家', '墻', '而', '㨿', '其', '處', '子']","['du', 'đông', 'gia', 'tường', 'nhi', 'lâu', 'kỳ', 'xử', 'tử']"
129,1,則得,"[(309, 69), (350, 199)]",tắc đắc thê,Tắc Đắc Thê,"['則', '得']","['tắc', 'đắc', 'thê']"
129,2,不摸則不得妻,"[(268, 75), (304, 331)]",bất lâu tắc bất đắc thê,Bất Lâu Tắc Bất Đắc Thê,"['不', '摸', '則', '不', '得', '妻']","['bất', 'lâu', 'tắc', 'bất', 'đắc', 'thê']"
129,3,則將摸之乎,"[(225, 73), (258, 292)]",tắc tương thê chi hồ,Tắc Tương Thê Chi Hồ,"['則', '將', '摸', '之', '乎']","['tắc', 'tương', 'thê', 'chi', 'hồ']"
129,4,曹交問曰,"[(181, 75), (214, 241)]",tào giao vấn viết,2 Tào Giao Vấn Viết,"['曹', '交', '問', '曰']","['tào', 'giao', 'vấn', 'viết']"
129,5,丿階呵以爲堯舜,"[(135, 75), (170, 377)]",nhân giai khả dĩ vi nghiêu thuấn,Nhân Giai Khả Dĩ Vi Nghiêu Thuấn,"['丿', '階', '呵', '以', '爲', '堯', '舜']","['nhân', 'giai', 'khả', 'dĩ', 'vi', 'nghiêu', 'thuấn']"
129,6,有諸,"[(86, 68), (125, 156)]",hữu chư,Hữu Chư,"['有', '諸']","['hữu', 'chư']"
129,7,孟子曰琮,"[(44, 70), (82, 285)]",mạnh tử viết nhiên,Mạnh Tử Viết Nhiên,"['孟', '子', '曰', '琮']","['mạnh', 'tử', 'viết', 'nhiên']"
131,0,交󰘇文王匕尺,"[(355, 58), (388, 319)]",giao văn văn vương thập xích,Giao Văn Văn Vương Thập Xích,"['交', '\U000f0607', '文', '王', '匕', '尺']","['giao', 'văn', 'văn', 'vương', 'thập', 'xích']"
131,1,湯九尺,"[(311, 57), (345, 189)]",thang cửu xích,Thang Cửu Xích,"['湯', '九', '尺']","['thang', 'cửu', 'xích']"
131,2,令交九尺四寸以長,"[(267, 59), (300, 405)]",kim giao cửu xích tứ thốn dĩ trường,Kim Giao Cửu Xích Tứ Thốn Dĩ Trường,"['令', '交', '九', '尺', '四', '寸', '以', '長']","['kim', 'giao', 'cửu', 'xích', 'tứ', 'thốn', 'dĩ', 'trường']"
131,3,食栗而己,"[(221, 56), (258, 226)]",thực túc nhi dĩ,Thực Túc Nhi Dĩ,"['食', '栗', '而', '己']","['thực', 'túc', 'nhi', 'dĩ']"
131,4,如何則可台,"[(176, 57), (213, 269)]",như hà tắc khả,Như Hà Tắc Khả,"['如', '何', '則', '可', '台']","['như', 'hà', 'tắc', 'khả']"
131,5,日奚有於是,"[(133, 64), (167, 281)]",viết hề hữu ư thị,Viết Hề Hữu Ư Thị,"['日', '奚', '有', '於', '是']","['viết', 'hề', 'hữu', 'ư', 'thị']"
131,6,亦爲之而己矣,"[(89, 59), (122, 319)]",diệc vi chi nhi dĩ hỹ,Diệc Vi Chi Nhi Dĩ Hỹ,"['亦', '爲', '之', '而', '己', '矣']","['diệc', 'vi', 'chi', 'nhi', 'dĩ', 'hỹ']"
131,7,有人於此,"[(41, 55), (81, 232)]",hữu nhân ư thử,Hữu Nhân Ư Thử,"['有', '人', '於', '此']","['hữu', 'nhân', 'ư', 'thử']"
133,0,力不能勝一𠀧難,"[(356, 57), (391, 363)]",lực bất năng thắng nhất thất sồ,Lực Bất Năng Thắng Nhất Thất Sồ,"['力', '不', '能', '勝', '一', '𠀧', '難']","['lực', 'bất', 'năng', 'thắng', 'nhất', 'thất', 'sồ']"
133,1,則爲無力尼矣,"[(309, 59), (344, 320)]",tắc vi vô lực nhân hỹ,Tắc Vi Vô Lực Nhân Hỹ,"['則', '爲', '無', '力', '尼', '矣']","['tắc', 'vi', 'vô', 'lực', 'nhân', 'hỹ']"
133,2,令曰𦊚百鈎,"[(263, 58), (302, 275)]",kim viết cử bá quân,Kim Viết Cử Bá Quân,"['令', '曰', '𦊚', '百', '鈎']","['kim', 'viết', 'cử', 'bá', 'quân']"
133,3,則爲有力人矣,"[(219, 59), (255, 318)]",tắc vi hữu lực nhân hỹ,Tắc Vi Hữu Lực Nhân Hỹ,"['則', '爲', '有', '力', '人', '矣']","['tắc', 'vi', 'hữu', 'lực', 'nhân', 'hỹ']"
133,4,然則𦊚烏瓊之任,"[(178, 60), (211, 361)]",nhiên tắc cử ô hoạch chi nhiệm,Nhiên Tắc Cử Ô Hoạch Chi Nhiệm,"['然', '則', '𦊚', '烏', '瓊', '之', '任']","['nhiên', 'tắc', 'cử', 'ô', 'hoạch', 'chi', 'nhiệm']"
133,5,是亦爲烏瓊而己矣,"[(133, 59), (166, 407)]",thị diệc vi ô hoạch nhi dĩ hỹ,Thị Diệc Vi Ô Hoạch Nhi Dĩ Hỹ,"['是', '亦', '爲', '烏', '瓊', '而', '己', '矣']","['thị', 'diệc', 'vi', 'ô', 'hoạch', 'nhi', 'dĩ', 'hỹ']"
133,6,夫人𡸈以不勝爲患哉,"[(90, 61), (120, 448)]",phù phu khởi dĩ bất thắng vi hoạn tai,Phù Phu Khởi Dĩ Bất Thắng Vi Hoạn Tai,"['夫', '人', '𡸈', '以', '不', '勝', '爲', '患', '哉']","['phù', 'phu', 'khởi', 'dĩ', 'bất', 'thắng', 'vi', 'hoạn', 'tai']"
133,7,弗爲耳,"[(41, 54), (78, 190)]",phất vi nhĩ,Phất Vi Nhĩ,"['弗', '爲', '耳']","['phất', 'vi', 'nhĩ']"
135,0,徐行後長者,"[(359, 52), (393, 275)]",từ hành hậu trưởng giả,Từ Hành Hậu Trưởng Giả,"['徐', '行', '後', '長', '者']","['từ', 'hành', 'hậu', 'trưởng', 'giả']"
135,1,謂之弟,"[(310, 59), (347, 189)]",vị chi đễ,Vị Chi Đễ,"['謂', '之', '弟']","['vị', 'chi', 'đễ']"
135,2,疾行先長者,"[(259, 57), (306, 274)]",tật hành tiên trưởng giả,Tật Hành Tiên Trưởng Giả,"['疾', '行', '先', '長', '者']","['tật', 'hành', 'tiên', 'trưởng', 'giả']"
135,3,調之不弟,"[(221, 60), (258, 240)]",vị chi bất đễ,Vị Chi Bất Đễ,"['調', '之', '不', '弟']","['vị', 'chi', 'bất', 'đễ']"
135,4,夫徐行者,"[(176, 56), (215, 230)]",phù tử hành giả,Phù Tử Hành Giả,"['夫', '徐', '行', '者']","['phù', 'tử', 'hành', 'giả']"
135,5,宣人所不能哉,"[(129, 57), (171, 325)]",khởi nhân sở bất năng tai,Khởi Nhân Sở Bất Năng Tai,"['宣', '人', '所', '不', '能', '哉']","['khởi', 'nhân', 'sở', 'bất', 'năng', 'tai']"
135,6,所不爲也,"[(84, 55), (125, 235)]",sở bất vi dã,Sở Bất Vi Dã,"['所', '不', '爲', '也']","['sở', 'bất', 'vi', 'dã']"
135,7,堯舜之道,"[(40, 53), (81, 227)]",nghiêu thuấn chi đạo,Nghiêu Thuấn Chi Đạo,"['堯', '舜', '之', '道']","['nghiêu', 'thuấn', 'chi', 'đạo']"
137,0,孝弟而己矣,"[(354, 56), (391, 275)]",hiếu đễ nhi dĩ hỹ,Hiếu Đễ Nhi Dĩ Hỹ,"['孝', '弟', '而', '己', '矣']","['hiếu', 'đễ', 'nhi', 'dĩ', 'hỹ']"
137,1,子服堯之服,"[(310, 59), (347, 279)]",tử phục nghiêu chi phục,Tử Phục Nghiêu Chi Phục,"['子', '服', '堯', '之', '服']","['tử', 'phục', 'nghiêu', 'chi', 'phục']"
137,2,誦堯之言行堯之行,"[(261, 59), (305, 458)]",tụng nghiêu chi ngôn hành nghiêu chi hành,Tụng Nghiêu Chi Ngôn Hành Nghiêu Chi Hành,"['誦', '堯', '之', '言', '行', '堯', '之', '行']","['tụng', 'nghiêu', 'chi', 'ngôn', 'hành', 'nghiêu', 'chi', 'hành']"
137,3,是堯而己矣,"[(221, 58), (255, 274)]",thị nghiêu nhi dĩ hỹ,Thị Nghiêu Nhi Dĩ Hỹ,"['是', '堯', '而', '己', '矣']","['thị', 'nghiêu', 'nhi', 'dĩ', 'hỹ']"
137,4,子服桀之服,"[(175, 57), (214, 279)]",tử phục kiệt chi phục,Tử Phục Kiệt Chi Phục,"['子', '服', '桀', '之', '服']","['tử', 'phục', 'kiệt', 'chi', 'phục']"
137,5,誦桀之言行桀之行,"[(126, 57), (172, 459)]",tụng kiệt chi ngôn hành kiệt chi hành,Tụng Kiệt Chi Ngôn Hành Kiệt Chi Hành,"['誦', '桀', '之', '言', '行', '桀', '之', '行']","['tụng', 'kiệt', 'chi', 'ngôn', 'hành', 'kiệt', 'chi', 'hành']"
137,6,是桀而己矣,"[(84, 55), (124, 278)]",thị kiệt nhi dĩ hỹ,Thị Kiệt Nhi Dĩ Hỹ,"['是', '桀', '而', '己', '矣']","['thị', 'kiệt', 'nhi', 'dĩ', 'hỹ']"
137,7,曰交得見於鄒君,"[(44, 64), (77, 362)]",viết giao đắc kiến ư trâu quân,Viết Giao Đắc Kiến Ư Trâu Quân,"['曰', '交', '得', '見', '於', '鄒', '君']","['viết', 'giao', 'đắc', 'kiến', 'ư', 'trâu', 'quân']"
139,0,呵以假饒,"[(353, 68), (394, 243)]",khả dĩ giả quán,Khả Dĩ Giả Quán,"['呵', '以', '假', '饒']","['khả', 'dĩ', 'giả', 'quán']"
139,1,慮留而受業於門,"[(312, 67), (349, 371)]",nguyện lưu nhi thọ nghiệp ư môn,Nguyện Lưu Nhi Thọ Nghiệp Ư Môn,"['慮', '留', '而', '受', '業', '於', '門']","['nguyện', 'lưu', 'nhi', 'thọ', 'nghiệp', 'ư', 'môn']"
139,2,曰夫道若大路然,"[(268, 72), (304, 372)]",viết phù đạo nhược đại lộ nhiên,Viết Phù Đạo Nhược Đại Lộ Nhiên,"['曰', '夫', '道', '若', '大', '路', '然']","['viết', 'phù', 'đạo', 'nhược', 'đại', 'lộ', 'nhiên']"
139,3,宣難知哉,"[(224, 66), (262, 241)]",khởi nan tri tai,Khởi Nan Tri Tai,"['宣', '難', '知', '哉']","['khởi', 'nan', 'tri', 'tai']"
139,4,人病不求耳,"[(178, 72), (214, 283)]",nhân bệnh bất cầu nhĩ,Nhân Bệnh Bất Cầu Nhĩ,"['人', '病', '不', '求', '耳']","['nhân', 'bệnh', 'bất', 'cầu', 'nhĩ']"
139,5,子歸而求之,"[(133, 67), (172, 280)]",tử qui nhi cầu chi,Tử Qui Nhi Cầu Chi,"['子', '歸', '而', '求', '之']","['tử', 'qui', 'nhi', 'cầu', 'chi']"
139,6,有餘師,"[(86, 64), (127, 200)]",hữu dư sư,Hữu Dư Sư,"['有', '餘', '師']","['hữu', 'dư', 'sư']"
139,7,公孫湿問同,"[(47, 70), (80, 281)]",công tôn sửu vấn viết,3 Công Tôn Sửu Vấn Viết,"['公', '孫', '湿', '問', '同']","['công', 'tôn', 'sửu', 'vấn', 'viết']"
141,0,高子曰,"[(352, 55), (394, 185)]",cao tử viết,Cao Tử Viết,"['高', '子', '曰']","['cao', 'tử', 'viết']"
141,1,小年小人之詩也,"[(306, 55), (351, 405)]",tiểu bàn tiểu nhân chi thi dã,Tiểu Bàn Tiểu Nhân Chi Thi Dã,"['小', '年', '小', '人', '之', '詩', '也']","['tiểu', 'bàn', 'tiểu', 'nhân', 'chi', 'thi', 'dã']"
141,2,孟子曰,"[(262, 54), (306, 183)]",mạnh tử viết,Mạnh Tử Viết,"['孟', '子', '曰']","['mạnh', 'tử', 'viết']"
141,3,何以言之,"[(217, 59), (269, 233)]",hà dĩ ngôn chi,Hà Dĩ Ngôn Chi,"['何', '以', '言', '之']","['hà', 'dĩ', 'ngôn', 'chi']"
141,4,曰紀,"[(181, 65), (212, 137)]",viết oán,Viết Oán,"['曰', '紀']","['viết', 'oán']"
141,5,曰固哉,"[(127, 58), (173, 189)]",viết cố tai,Viết Cố Tai,"['曰', '固', '哉']","['viết', 'cố', 'tai']"
141,6,高隻之爲詩也,"[(77, 52), (129, 323)]",cao tẩu chi vi thi dã,Cao Tẩu Chi Vi Thi Dã,"['高', '隻', '之', '爲', '詩', '也']","['cao', 'tẩu', 'chi', 'vi', 'thi', 'dã']"
141,7,有人於此,"[(38, 54), (78, 232)]",hữu nhân ư thử,Hữu Nhân Ư Thử,"['有', '人', '於', '此']","['hữu', 'nhân', 'ư', 'thử']"
143,0,越人󰘇弓而射之,"[(352, 56), (392, 359)]",việt nhân loan cung nhi xạ chi,Việt Nhân Loan Cung Nhi Xạ Chi,"['越', '人', '\U000f0607', '弓', '而', '射', '之']","['việt', 'nhân', 'loan', 'cung', 'nhi', 'xạ', 'chi']"
143,1,則己談樊而道之,"[(311, 60), (347, 357)]",tắc kỷ đàm tiếu nhi đạo chi,Tắc Kỷ Đàm Tiếu Nhi Đạo Chi,"['則', '己', '談', '樊', '而', '道', '之']","['tắc', 'kỷ', 'đàm', 'tiếu', 'nhi', 'đạo', 'chi']"
143,2,無他蹺之也,"[(267, 59), (300, 268)]",vô tha sơ chi dã,Vô Tha Sơ Chi Dã,"['無', '他', '蹺', '之', '也']","['vô', 'tha', 'sơ', 'chi', 'dã']"
143,3,其兄調弓而射之,"[(223, 59), (256, 356)]",kỳ huynh loan cung nhi xạ chi,Kỳ Huynh Loan Cung Nhi Xạ Chi,"['其', '兄', '調', '弓', '而', '射', '之']","['kỳ', 'huynh', 'loan', 'cung', 'nhi', 'xạ', 'chi']"
143,4,則尼垂涕泣而道之,"[(179, 59), (210, 399)]",tắc kỷ thùy thế khấp nhi đạo chi,Tắc Kỷ Thùy Thế Khấp Nhi Đạo Chi,"['則', '尼', '垂', '涕', '泣', '而', '道', '之']","['tắc', 'kỷ', 'thùy', 'thế', 'khấp', 'nhi', 'đạo', 'chi']"
143,5,無他戚之也,"[(132, 58), (169, 273)]",vô tha thích chi dã,Vô Tha Thích Chi Dã,"['無', '他', '戚', '之', '也']","['vô', 'tha', 'thích', 'chi', 'dã']"
143,6,小𪪳之怒親親也,"[(82, 57), (129, 411)]",tiểu bàn chi oán thân thân dã,Tiểu Bàn Chi Oán Thân Thân Dã,"['小', '𪪳', '之', '怒', '親', '親', '也']","['tiểu', 'bàn', 'chi', 'oán', 'thân', 'thân', 'dã']"
143,7,親親仁也,"[(44, 58), (78, 227)]",thân thân nhân dã,Thân Thân Nhân Dã,"['親', '親', '仁', '也']","['thân', 'thân', 'nhân', 'dã']"
145,0,固矣夫,"[(350, 54), (395, 193)]",cố hỹ phù,Cố Hỹ Phù,"['固', '矣', '夫']","['cố', 'hỹ', 'phù']"
145,1,高隻之爲詩也,"[(310, 59), (346, 316)]",cao tẩu chi vi thi dã,Cao Tẩu Chi Vi Thi Dã,"['高', '隻', '之', '爲', '詩', '也']","['cao', 'tẩu', 'chi', 'vi', 'thi', 'dã']"
145,2,曰凱風何以不懇,"[(265, 64), (301, 372)]",viết khải phong hà dĩ bất oán,Viết Khải Phong Hà Dĩ Bất Oán,"['曰', '凱', '風', '何', '以', '不', '懇']","['viết', 'khải', 'phong', 'hà', 'dĩ', 'bất', 'oán']"
145,3,曰凱風,"[(219, 61), (257, 192)]",viết khải phong,Viết Khải Phong,"['曰', '凱', '風']","['viết', 'khải', 'phong']"
145,4,親之過小者也,"[(174, 58), (214, 316)]",thân chi quá tiểu giả dã,Thân Chi Quá Tiểu Giả Dã,"['親', '之', '過', '小', '者', '也']","['thân', 'chi', 'quá', 'tiểu', 'giả', 'dã']"
145,5,小年親之過犬者也,"[(130, 54), (170, 447)]",tiểu bàn thân chi quá đại giả dã,Tiểu Bàn Thân Chi Quá Đại Giả Dã,"['小', '年', '親', '之', '過', '犬', '者', '也']","['tiểu', 'bàn', 'thân', 'chi', 'quá', 'đại', 'giả', 'dã']"
145,6,親之過犬而不怨,"[(83, 56), (125, 365)]",thân chi quá đại nhi bất oán,Thân Chi Quá Đại Nhi Bất Oán,"['親', '之', '過', '犬', '而', '不', '怨']","['thân', 'chi', 'quá', 'đại', 'nhi', 'bất', 'oán']"
145,7,是愈蹺也,"[(40, 55), (80, 236)]",thị dũ sơ dã,Thị Dũ Sơ Dã,"['是', '愈', '蹺', '也']","['thị', 'dũ', 'sơ', 'dã']"
147,0,親之過小而懇,"[(358, 65), (396, 326)]",thân chi quá tiểu nhi oán,Thân Chi Quá Tiểu Nhi Oán,"['親', '之', '過', '小', '而', '懇']","['thân', 'chi', 'quá', 'tiểu', 'nhi', 'oán']"
147,1,是不可機也,"[(311, 68), (349, 282)]",thị bất khả ky dã,Thị Bất Khả Ky Dã,"['是', '不', '可', '機', '也']","['thị', 'bất', 'khả', 'ky', 'dã']"
147,2,愈玩不孝也,"[(260, 62), (309, 329)]",dũ sơ bất hiếu dã,Dũ Sơ Bất Hiếu Dã,"['愈', '玩', '不', '孝', '也']","['dũ', 'sơ', 'bất', 'hiếu', 'dã']"
147,3,不可亦不孝也,"[(220, 69), (261, 415)]",bất khả cơ diệc bất hiếu dã,Bất Khả Cơ Diệc Bất Hiếu Dã,"['不', '可', '亦', '不', '孝', '也']","['bất', 'khả', 'cơ', 'diệc', 'bất', 'hiếu', 'dã']"
147,4,孔犯子曰,"[(175, 68), (220, 193)]",khổng tử viết,Khổng Tử Viết,"['孔', '犯', '子', '曰']","['khổng', 'tử', 'viết']"
147,5,舜其至孝矣,"[(129, 62), (173, 290)]",thuấn kỳ chí hiếu hỹ,Thuấn Kỳ Chí Hiếu Hỹ,"['舜', '其', '至', '孝', '矣']","['thuấn', 'kỳ', 'chí', 'hiếu', 'hỹ']"
147,6,五十而慕,"[(86, 61), (125, 242)]",ngũ thập nhi mộ,Ngũ Thập Nhi Mộ,"['五', '十', '而', '慕']","['ngũ', 'thập', 'nhi', 'mộ']"
147,7,宋悭將之楚,"[(41, 70), (80, 283)]",tống khanh tương chi sở,4 Tống Khanh Tương Chi Sở,"['宋', '悭', '將', '之', '楚']","['tống', 'khanh', 'tương', 'chi', 'sở']"
149,0,孟子過於石丘,"[(354, 54), (391, 312)]",mạnh tử ngộ ư thạch khâu,Mạnh Tử Ngộ Ư Thạch Khâu,"['孟', '子', '過', '於', '石', '丘']","['mạnh', 'tử', 'ngộ', 'ư', 'thạch', 'khâu']"
149,1,日先生將何之,"[(311, 59), (347, 316)]",viết tiên vương tương hà chi,Viết Tiên Vương Tương Hà Chi,"['日', '先', '生', '將', '何', '之']","['viết', 'tiên', 'vương', 'tương', 'hà', 'chi']"
