Page,Column,Transcription,Translation
139,6,Hữu Dư Sư,Có nhiều thầy dạy lắm.
139,7,3 Công Tôn Sửu Vấn Viết,3.Học trò Công Tôn Sửu hỏi rằng :
141,0,Cao Tử Viết,Ông Cao Tử nói rằng :
141,1,Tiểu Bàn Tiểu Nhân Chi Thi Dã,"Bài Tiểu Bàn (trong Kinh Thi), là thơ của kẻ tiểu nhân làm ra."
141,2,Mạnh Tử Viết,Thầy Mạnh Tử đáp :
141,3,Hà Dĩ Ngôn Chi,Sao lại nói như vậy ?
141,4,Viết Oán,Công Tôn Sửu nói : thưa vì có ý oán trách.
141,5,Viết Cố Tai,"Thầy Mạnh Tử đáp : cố chấp quá thay,"
141,6,Cao Tẩu Chi Vi Thi Dã,Khi ông già họ Cao bình luận về bài thơ này !
141,7,Hữu Nhân Ư Thử,"Ví như có một người ở đây,"
143,0,Việt Nhân Loan Cung Nhi Xạ Chi,"Thấy người nước Việt thì định giương cung bắn người,"
143,1,Tắc Kỷ Đàm Tiếu Nhi Đạo Chi,Thì ta phải tới nói lời vui vẻ để mà khuyên can họ ;
143,2,Vô Tha Sơ Chi Dã,Đó là cách khuyên can của ta khi gặp một người xa lạ.
143,3,Kỳ Huynh Loan Cung Nhi Xạ Chi,"Nhưng nếu thấy anh mình định giương cung bắn người,"
143,4,Tắc Kỷ Thùy Thế Khấp Nhi Đạo Chi,"Thì ta phải khóc lóc rủ rượi mà tới khuyên can,"
143,5,Vô Tha Thích Chi Dã,Đó là cách khuyên can của ta đối người thân thích.
143,6,Tiểu Bàn Chi Oán Thân Thân Dã,"Ý oán trách trong bài Tiểu Bàn, là tình yêu thương cha mẹ."
143,7,Thân Thân Nhân Dã,Yêu thương cha mẹ là lòng nhân vậy.
145,0,Cố Hỹ Phù,"cố chấp quá thay,"
145,1,Cao Tẩu Chi Vi Thi Dã,Khi ông già họ Cao bình luận về bài thơ này !
145,2,Viết Khải Phong Hà Dĩ Bất Oán,Công Tôn Sửu hỏi : thưa vì sao bài Khải Phong không có ý oán trách ?
145,3,Viết Khải Phong,"Thầy Mạnh Tử đáp : bài Khải Phong (Kinh Thi),"
145,4,Thân Chi Quá Tiểu Giả Dã,Lỗi của cha mẹ nhỏ ;
145,5,Tiểu Bàn Thân Chi Quá Đại Giả Dã,"Còn bài Tiểu Bàn, thì lỗi của cha mẹ lớn."
145,6,Thân Chi Quá Đại Nhi Bất Oán,"Cha mẹ phạm lỗi lớn mà không oán trách,"
145,7,Thị Dũ Sơ Dã,Đó coi như mình xa cách (bỏ rơi) cha mẹ vậy.
147,0,Thân Chi Quá Tiểu Nhi Oán,"Cha mẹ phạm lỗi nhỏ mà oán trách,"
147,1,Thị Bất Khả Ky Dã,Đó coi như mình không thể dằn lòng với cha mẹ.
147,2,Dũ Sơ Bất Hiếu Dã,"Xa cách (bỏ rơi) cha mẹ, là bất hiếu ;"
147,3,Bất Khả Cơ Diệc Bất Hiếu Dã,"không thể dằn lòng với cha mẹ, cũng là bất hiếu."
147,4,Khổng Tử Viết,Đức Khổng Tử từng nói rằng :
147,5,Thuấn Kỳ Chí Hiếu Hỹ,"Vua Thuấn thật là người con chí hiếu,"
147,6,Ngũ Thập Nhi Mộ,50 tuổi mà vẫn còn thương mến cha mẹ.
147,7,4 Tống Khanh Tương Chi Sở,"4.Ông Tống Hình trên đường đến nước Sở,"
149,0,Mạnh Tử Ngộ Ư Thạch Khâu,"Thầy Mạnh Tử gặp ông ta ở đất Thạch Khâu,"
149,1,Viết Tiên Vương Tương Hà Chi,liền hỏi : Tiên sinh sắp đi đâu vậy ?
149,2,Viết Ngôn Văn Tần Sở Cấu Binh,"Tống Hình đáp : tôi nghe hai nước Tần, Sở sắp dấy binh đánh nhau,"
149,3,Ngã Tương Kiến Sở Vương,"Tôi định đi đến nước Sở,"
149,4,Thuyết Nhi Bãi Chi,Khuyên vua bãi binh.
149,5,Sở Vương Bất Duyệt,"Nếu vua Sở không đồng ý,"
149,6,Ngã Tương Kiến Tần Vương,"Tôi sẽ đi tiếp đến gặp vua nước Tần,"
149,7,Thuyết Nhi Bãi Chi,Khuyên vua bãi binh.
151,0,Nhị Vương Ngã Tương Hữu Sở Ngộ Yên,Nhất định trong 2 vị vua ấy sẽ có một vị nghe theo lời khuyên tôi.
151,1,Viết Kha Dã Thỉnh Vô Vấn Kỳ Tường,"Thầy Mạnh Tử nói : Kha này xin không hỏi tường tận sự việc,"
151,2,Nguyện Văn Kỳ Chỉ,Chỉ mong được nghe những ý chính thôi.
151,3,Thuyết Chi Tương Hà Như,Xin hỏi tiên sinh sẽ thuyết phục họ như thế nào ?
151,4,Viết Ngã Tương Ngôn Kỳ Bất Lợi Dã,Tống Hình đáp : tôi sẽ nói về những điều bất lợi
151,5,Viết Tiên Sinh Chi Chí Tắc Đại Hỹ,(khi dấy binh đánh nhau).
151,6,Tiên Sinh Chi Hiệu Tắc Bất Khả,"Thầy Mạnh Tử nói : chí hướng của tiên sinh lớn thật,"
151,7,Tiên Sinh Dĩ Lợi Thuyết Tần Sở Chi Vương,Nhưng cách làm của tiên sinh thì không thể được.
153,0,Tần Sở Chi Vương Duyệt Ư Lợi,"Vua Tần, vua Sở có thể đồng ý vì lợi ích của họ,"
153,1,Dĩ Bãi Tam Quân Chi Sư,Liền dừng (triệu tập) các sư đoàn trong ba quân
153,2,Thị Tam Quân Chi Sĩ Lạc Bãi,(không đánh nhau nữa).
153,3,Nhi Duyệt Ư Lợi Dã,Thế là các tướng sĩ trong ba quân vui vẻ vì được bãi binh
153,4,Vi Nhân Thần Giả,Mà lại vui mừng vì được lợi.
153,5,Hoài Lợi Dĩ Sự Kỳ Quân,"Người làm bề bôi,"
153,6,Vi Nhân Tử Giả,"Chỉ vì lợi mà phụng sự vua,"
153,7,Hoài Lợi Dĩ Sự Kỳ Phụ,"Người làm con,"
155,0,Vi Nhân Đệ Giả,"Người làm em,"
155,1,Hoài Lợi Dĩ Sự Kỳ Huynh,"Chỉ vì lợi mà phụng sự anh,"
155,2,Thị Quân Thần,"Thể là mối quan hệ vua và bề tôi,"
155,3,Phụ Tử,"Cha và con,"
155,4,Huynh Đệ Chung Khứ Nhân Nghĩa,"Anh và em, điều rời bỏ nhân nghĩa,"
155,5,Hoài Lợi Dĩ Tương Tiếp,Chỉ vì lợi mà giao tiếp với nhau ;
155,6,Nhiên Nhi Bất Vong Giả,"Làm vậy mà không diệt vong,"
155,7,Vị Chi Hữu Dã,Là chưa từng có vậy.
157,0,Tiên Sinh Dĩ Nhân Nghĩa,Nếu tiên sinh lấy nhân nghĩa
157,1,Thuyết Tần Sở Chi Vương,"Đi thuyết phục vua Tần, vua Sở,"
157,2,Tần Sở Chi Vương Duyệt Ư Nhân Nghĩa,"Vua Tần, vua Sở có thể đồng ý vì nhân nghĩa,"
157,3,Dĩ Bãi Tam Quân Chi Sư,Liền dừng (triệu tập) các sư đoàn trong ba quân
157,4,Thị Tam Quân Chi Sĩ Lạc Bãi,(không đánh nhau nữa).
157,5,Nhi Duyệt Ư Nhân Nghĩa Dã,Thế là các tướng sĩ trong ba quân vui vẻ vì được bãi binh
157,6,Vi Nhân Thần Giả,Mà lại vui mừng trong nhân nghĩa.
157,7,Hoài Nhân Nghĩa Dĩ Sự Kỳ Quân,"Người làm bề bôi,"
159,0,Vi Nhân Tử Giả,"Người làm con,"
159,1,Hoài Nhân Nghĩa Dĩ Sự Kỳ Phụ,"Vì nhân nghĩa mà phụng sự cha,"
159,2,Vi Nhân Đệ Giả,"Người làm em,"
159,3,Hoài Nhân Nghĩa Dĩ Sự Kỳ Huynh,"Vì nhân nghĩa mà phụng sự anh,"
159,4,Thị Quân Thần Phụ Tử,"Thế là mối quan hệ vua và bề tôi, cha và con,"
159,5,Huynh Đệ Khứ Lợi,"Anh và em, điều rời bỏ việc lợi,"
159,6,Hoài Nhân Nghĩa Dĩ Tương Tiếp Dã,Vì nhân nghĩa mà giao tiếp với nhau ;
159,7,Nhiên Nhi Bất Vượng Giả,"Làm vậy mà không thịnh vượng,"
161,0,Vị Chi Hữu Dã,Là chưa từng có vậy.
161,1,Hà Tất Viết Lợi,Vậy sao tiên sinh phải nói đến việc lợi ?
161,2,5 Mạnh Tử Cư Trâu,"5.Thầy Mạnh Tử ở nước Trâu,"
161,3,Quý Nhâm Vi Nhâm Xử Thủ,"Ông Quý Nhâm khi thay vua nước Nhâm xử lý việc nước,"
161,4,Dĩ Tệ Giao Thọ Chi Nhi Bất Báo,"Có đem lụa đến tặng, thầy Mạnh Tử nhận mà không đáp tạ."
161,5,Xử Ư Bình Lục,"Còn khi ở đất Bình Lục,"
161,6,Trừ Tử Vi Tướng,"Ông Trừ Tử đang làm quan tể tướng (nước Tề),"
161,7,Dĩ Tệ Giao Thọ Chi Nhi Bất Báo,"Có đem lụa đến tặng, thầy Mạnh Tử cũng nhận mà không đáp tạ."
163,0,Tha Nhật Do Trâu Chi Nhâm,"Ngày khác thầy Mạnh Tử đi từ nước Trâu đến nước Nhâm,"
163,1,Kiến Quý Tử,"Thì đến gặp ông Quý Tử,"
163,2,Do Bình Lục Chi Tề,"Nhưng khi đi từ đất Bình Lục đến nước Tề,"
163,3,Bất Kiến Trừ Tử,Thì thầy Mạnh Tử không đến gặp ông Trừ Tử.
163,4,Ốc Lư Tử Hỷ Viết,Người học trò Ốc Lư Tử thấy vui nói rằng :
163,5,Liên Đắc Gián Hỹ,“phen này ta có dịp hỏi thầy rồi ”.
163,6,Vấn Viết,Bèn hỏi thầy Mạnh Tử rằng :
163,7,Phu Tử Chi Nhâm Kiến Quý Tử,"Thưa thầy đến nước Nhâm thì vào gặp ông Quý Tử,"
165,0,Chi Tề Bất Kiến Trừ Tử,"Còn đến nước Tề thì không đến gặp ông Trừ Tử,"
165,1,Vi Kỳ Vi Tướng Dư,Do ông ta làm quan tể tướng (thấp hơn ông Quý Tử) sao ?
165,2,Viết Phi Dã,Thầy Mạnh Tử đáp : không phải vậy.
165,3,Thư Viết,Kinh Thư viết rằng :
165,4,Hưởng Đa Nghi Nghi Bất Cập Vật,"Dâng cúng thần linh phải đủ lễ tiết, nếu vật phẩm nhiều mà lễ tiết thiếu,"
165,5,Viết Bất Hưởng,Thì coi như chẳng dâng cúng.
165,6,Duy Bất Dịch Chí Vu Hưởng,Đó chỉ vì không để hết tâm chí vào việc dâng cúng thần linh vậy.
165,7,Vi Kỳ Bất Thành Hưởng Dã,Ta không đến thăm ông Trừ Tử vì ông ta chẳng chân thành khi tặng lụa.
167,0,Ốc Lư Tử Duyệt,Ốc Lư Tử (nghe vậy) rất vừa lòng.
167,1,Hoặc Vấn Chi,"Sau này có người hỏi về việc ấy,"
167,2,Ốc Lư Tử Viết,Ốc Lư Tử đáp :
167,3,Quý Tử Bất Đắc Chi Trâu,Ông Quý Tử (lúc đó đang thay vua trị nước nên) không đến nước Trâu
167,4,Trừ Tử Đắc Chi Bình Lục,"gặp thầy ta tặng lụa),"
167,5,6 Thuần Vu Khôn Viết,Còn ông Trừ Tử (lúc làm quan tể tướng) có thể đến đất Bình Lục (gặp
167,6,Tiên Danh Thật Giả Vi Nhân Dã,thầy ta tặng lụa mà ông ta không chịu đến).
167,7,Hậu Danh Thật Giả Tự Vị Dã,6.Ông Thuần Vu Khôn nói rằng :
169,0,Phu Tử Tại Tam Khanh Chi Trung,"Thầy ở nước Tề làm quan trong hàng tam khanh (quan lớn),"
169,1,Danh Thật Vị Gia Ư Thượng Hạ Nhi Khứ Chi,"danh dự sự nghiệp chưa giúp ích gì cho vua, cho dân, thế mà bỏ đi,"
169,2,Nhân Giả Cố Như Thử Hồ,người có lòng nhân lẽ nào chố chấp làm như thế ?
169,3,Mạnh Tử Viết,Thầy Mạnh Tử đáp :
169,4,Cư Hạ Vị,"* Ở địa vị thấp,"
169,5,Bất Dĩ Hiền Sự Bất Tiếu Giả,"Chẳng đem tài đức của mình đi phụng sự vị vua vô đạo,"
169,6,Bá Di Dã,Đó là ông Bá Di.
169,7,Ngũ Tựu Thang,* Năm lần đến với vua Thành Thang (thiện)
171,0,Ngũ Tựu Kiệt Giả,"Năm lần đến với vua Kiệt (ác),"
171,1,Y Doãn Dã,Đó là ông Y Doãn.
171,2,Bất Ố Ô Quân,"* Không ghét (khi phụng sự) vị vua vô đạo,"
171,3,Bất Từ Tiểu Quan Giả,"Không từ chối khi làm chức quan nhỏ,"
171,4,Liễu Hạ Huệ Dã,Đó là ông Liễu Hạ Huệ.
171,5,Tam Tử Giả Bất Đồng Đạo,"Ba ông ấy tuy không chung một đường lối,"
171,6,Kỳ Xu Nhất Dã,Nhưng đều hướng về cùng một mục đích.
171,7,Nhất Giả Hà Dã,Vậy mục đích ấy là gì ?
173,0,Viết Nhân Dã,Đó là lòng nhân.
173,1,Quân Tử Diệc Nhân Nhi Dĩ Hỹ,"Người quân tử mục đích cũng chỉ vì lòng nhân mà thôi,"
173,2,Hà Tất Đồng,Đâu cần thiết phải làm giống như nhau ?
173,3,Viết Lỗ Mục Công Chi Thời,"Thuần Vu Khôn nói : vào thời vua Lỗ Mục Công,"
173,4,Công Nghi Tử Vi Chính,"Có ông Công Nghi Tử (làm tể tướng) cầm quyền chánh sự,"
173,5,Tử Liễu Tử Tư Vi Thần,"Ông Tử Liễu, ông Tử Tư là bề tôi trợ giúp, (3 ông ấy rất có tài đức)"
173,6,Lỗ Chi Tước Dã Tư Thậm,Thế mà đất đai của nước Lỗ bị tước đoạt rất nhiều.
173,7,Nhược Thị Hồ Hiền Giả Chi,Như thế thì những người tài đức
175,0,Vô Ích Ư Quốc Dã,Không giúp ích gì cho quốc gia rồi.
175,1,Viết Ngu Bất Dụng Bách Lý Hề Nhi Vong,Thầy Mạnh Tử đáp :
175,2,Tần Mục Công Dụng Chi Nhi Bá,"vua nước Ngu không dùng ông Bách Lý Hề nên diệt vong,"
175,3,Bất Dụng Hiền Tắc Vong,Vua Tần Mục Công dùng ông ta mà nên nghiệp bá.
175,4,Tước Hà Khả Đắc Dư,"Vua mà không dùng bậc hiền đức thì đất nước bị diệt vong,"
175,5,Viết Tích Giả,Huống chi bị tước đoạt bớt đất đai thôi sao ?
175,6,Vương Báo Xử Ư Kỳ,"Thuần Vu Khôn nói : xưa kia,"
175,7,Nhi Hà Tây Thiện Âu,"Ông Vương Báo ở gần sông Kỳ (có tài dạy người ca hát),"
177,0,Miên Câu Xử Ư Cao Đường,"Ông Miên Câu ở đất Cao Đường (hát rất hay),"
177,1,Nhi Tề Hữu Thiện Ca,Nhờ vậy mà dân chúng phía hữu nước Tề hát hay.
177,2,Hoa Châu Kỷ Lương Chi Thê,"Vợ của (hai vị quan là) ông Hoa Châu, ông Kỷ Lương,"
177,3,Thiện Khóc Kỳ Phu Nhi Biến Quốc Tục,"Khéo khóc chồng chết trận, mà thay đổi cả phong tục trong nước."
177,4,Hữu Chư Nội Tất Hình Chư Ngoại,"Nên cái gì có ở bên trong, ắt hiện ra ngoài hình tướng."
177,5,Vi Kỳ Sự Nhi Vô Kỳ Công Giả,"Người làm nên sự nghiệp mà không tốn công sức,"
177,6,Khôn Vị Thường Đổ Chi Dã,Khôn tôi chưa từng thấy.
177,7,Thị Cố Vô Hiền Giả Dã,Vậy nên thời nay chẳng có bậc tài đức nào xuất hiện ;
179,0,Hữu Tắc Khôn Tất Thức Chi,Nếu có thì Khôn tôi ắt sẽ biết.
179,1,Viết Khổng Tử Vi Lỗ Tư Khấu,"Thầy Mạnh Tử đáp : đức Khổng Tử khi còn làm quan tư khấu ở nước Lỗ,"
179,2,Bất Dụng Tòng Nhi Tế,"Vua chẳng nghe theo, ngài đợi đến khi vua Lỗ làm lễ tế,"
179,3,Bàn Nhục Bất Chí,"(sau buổi tế vua mê vui chơi) không chia thịt tế cho các quan,"
179,4,Bất Thoát Miện Nhi Hành,(Thấy vậy) Ngài không đợi cởi mũ mà liền bỏ ra đi.
179,5,Bất Tri Giả Dĩ Vi Vi Nhục Dã,Kẻ không biết cho rằng ngài bỏ đi chỉ vì miếng thịt ;
179,6,Kỳ Tri Giả Dĩ Vi Vi Vô Lễ Dã,Người hiểu biết cho rằng ngài bỏ đi vì vua vô lễ.
179,7,Nãi Khổng Tử Tắc Dục Dĩ Vi Tội Hành,"Thì ra đức Khổng Tử mong vua Lỗ mắc lỗi nhỏ để ngài dễ ra đi,"
181,0,Bất Dục Vi Cẩu Khứ,Chứ ngài không muốn ra đi một cách tùy tiện.
181,1,Quân Tử Chi Sở Vi,"Người quân-tử khi làm gì,"
181,2,Chúng Nhân Cố Bất Thức Dã,Thì cố nhiên người đời không thể nào biết được vậy.
181,3,7 Mạnh Tử Viết,7.Thầy Mạnh Tử nói rằng :
181,4,Ngũ Bá Giả,"Năm vị Bá chủ (thời xuân thu),"
181,5,Tam Vương Chi Tội Nhân Dã,"(1.Tề Hoàn Công, 2.Tấn Văn Công, 3.Tần Mục Công, 4.Sở Trang Công, 5.Tống Tương Công)"
181,6,Kim Chi Chư Hầu,"Là tội nhân của ba đời Vương,"
181,7,Ngũ Bá Chi Tội Nhân Dã,"(1.Vua Vũ nhà Hạ, 2.vua Thang nhà Thương, 3.vua Văn Vương nhà Chu)"
183,0,Kim Chi Đại Phu,"Các quan đại-phu thời nay,"
183,1,Kim Chi Chư Hầu Chi Tội Nhân Dã,Là tội nhân của các vua chư-hầu hiện nay.
183,2,Thiên Tử Thích Chư Hầu Viết Tuấn Thú,Thiên-tử đến thăm vua chư-hầu gọi là Tuần Thú ;
183,3,Chư Hầu Triều Ư Thiên Tử Viết Thuật Chức,Các vua chư-hầu vào triều bái thiên-tử gọi là Thuật Chức.
183,4,Xuân Tỉnh Canh Nhi Bổ Bất Túc,"Mùa xuân họ đi coi việc cày cấy để bù thêm cho những ai không đủ,"
183,5,Thu Tĩnh Liễm Nhi Trợ Bất Cấp,Mùa thu đi xem việc thu hoạch để trợ giúp cho những ai không đủ dùng.
183,6,Nhập Kỳ Cương Thổ Địa Tịch,"Khi thiên-tử vào lãnh thổ nước chư-hầu nào, mà đất được mở mang,"
183,7,Điền Dã Trị Dưỡng Lão,"Ruộng vườn được trồng trọt, người già được nuôi dưỡng,"
185,0,Tôn Hiền Tuấn Kiệt Tại Vị,"Bậc hiền đức được tôn trọng, người tài giỏi có chức vị,"
185,1,Tắc Hữu Khánh Khánh Dĩ Địa,"Thì thiên-tử ban thưởng, ban thưởng là cho thêm đất."
185,2,Nhập Kỳ Cương Thổ Địa Hoang Vu,"Khi thiên-tử vào lãnh thổ nước chư-hầu nào, mà đất đai bị bỏ hoang,"
185,3,Di Lão Thất Hiền,"Người già bị bỏ rơi, bậc hiền đức chẳng được tôn trọng,"
185,4,Bồi Khắc Tại Vị Tắc Hữu Nhượng,"Bọn bóc lột dân ở địa vị cao, thì thiên-tử quở trách."
185,5,Nhất Bất Triều Tắc Biếm Kỳ Tước,"Nếu lần thứ nhất vua chư-hầu không vào triều bái, thì bị giáng chức,"
185,6,Tái Bất Triều Tắc Tước Kỳ Địa,"Lần thứ hai không vào triều bái, thị bị tước bớt đất đai."
185,7,Tam Bất Triều Tắc Lục Sư Di Chi,"Lần thứ ba không vào triều bái, thì thiên-tử dẫn 6 sư đoàn đi đánh dẹp."
187,0,Thị Cố Thiên Tử Thảo Nhi Bất Phạt,"Vậy nên thiên-tử đánh dẹp vua chư-hầu mà không chiếm đất,"
187,1,Chư Hầu Phạt Nhi Bất Thảo,Các vua chư-hầu (ngày nay) chiếm đất mà không đánh dẹp.
187,2,Ngũ Bá Giả,"Năm vị Bá chủ (thời xuân thu),"
187,3,Lâu Chư Hầu Dĩ Phạt Chư Hầu Giả Dã,"Thì dùng quyền lực lôi kéo chư-hầu để chiếm đất của chư-hầu,"
187,4,Cố Viết Ngũ Bá Giả,"Nên nói rằng : Năm vị Bá chủ (thời xuân thu),"
187,5,Tam Vương Chi Tội Nhân Dã,Là tội nhân của ba đời Vương.
187,6,Ngũ Bá Hoàn Công Vi Thạnh,"Trong năm vị Bá chủ, thì vua Tề Hoàn Công là cường thịnh nhất."
187,7,Quì Khâu Chi Hội Chư Hầu,"Ngài hội hợp các nước chư-hầu ở đất Quì Khâu,"
189,0,Thúc Sinh Thái Thư Nhi Bất Sáp Huyết,Trói giết con vật để làm điều ước liên minh (họ bôi máu qua môi) mà
189,1,Sơ Mệnh Viết,không uống máu con vật tế.
189,2,Tru Bất Hiếu,(Điều ước liên minh ấy viết là trung thành với thiên tử nhà Chu nội dung như sau)
189,3,Vô Dịch Thụ Tử,* Mệnh lệnh thứ 1 viết rằng :
189,4,Vô Dĩ Thiếp Vi Thê,"+ Giết kẻ bất hiếu,"
189,5,Tái Mệnh Viết,"+ Không thay đổi thế-tử,"
189,6,Tôn Hiền Dục Tài,+ Không lấy hầu thiếp lên làm vợ chính.
189,7,Dĩ Chương Hữu Đức,* Mệnh lệnh thứ 2 viết rằng :
191,0,Tam Mệnh Viết,* Mệnh lệnh thứ 3 viết rằng :
191,1,Kính Lão Tử Ấu,"+ Kín trọng người già, + thương yêu trẻ nhỏ,"
191,2,Vô Vong Lân Lữ,+ không quên tiếp các đãi lữ khách đến thăm.
191,3,Tứ Mệnh Viết,* Mệnh lệnh thứ 4 viết rằng :
191,4,Sĩ Vô Thế Quan,"+ Con cháu của công thần không được làm quan nếu không có tài đức,"
191,5,Quan Sự Vô Nhiếp,"+ Một vị quan không được kiêm nhiệm nhiều chức vụ,"
191,6,Thủ Sĩ Tất Đắc,+ Vua không được tự tiện giết quan đại-phu.
193,0,Ngũ Mệnh Viết,* Mệnh lệnh thứ 5 viết rằng :
193,1,Vô Khúc Phòng Vô Át Địch,"+ Không đắp đê cong lấn đất, + không ngăn cấm việc mua bán thóc lúa,"
193,2,Vô Hữu Phong Nhi Bất Cáo,+ không tự tiện phong thưởng cho ai mà không báo lên thiên-tử.
193,3,Viết Phàm Ngã Đồng Minh Chi Nhân,"Ngoài ra còn: chúng ta khi người nào tham gia điều ước đồng minh,"
193,4,Ký Minh Chi Hậu Ngôn Qui Ư Hảo,"Và đã ký vào điều ước đồng minh, thì lời nói phải hướng về sự hòa hảo."
193,5,Kim Chi Chư Hầu,"Ngày nay các vua chư-hầu,"
193,6,Giai Phạm Thử Ngũ Cấm,Đều vi phạm năm điều cấm ở trên.
193,7,Cố Viết Kim Chi Chư Hầu,"Cho nên nói rằng các vua-chư hầu hiện nay,"
195,0,Ngũ Bá Chi Tội Nhân Dã,Là tội nhân của năm vị Bá chủ (thời xuân thu).
195,1,Trưởng Quân Chi Ác Kỳ Tội Tiểu,"Bề tôi hùa theo việc xấu của vua, là tội nhỏ ;"
195,2,Phùng Quân Chi Ác Kỳ Tội Đại,"Bề tôi chỉ vua làm điều xấu, là tội lớn."
195,3,Kim Chi Đại Phu Giai Phùng Quân Chi Ác,"Các quan đại-phu thời nay đều chỉ vua làm điều xấu,"
195,4,Cố Viết Kim Chi Đại Phu,"Cho nên nói rằng các quan đại-phu thời nay,"
195,5,Kim Chi Chư Hầu Chi Tội Nhân Dã,Là tội nhân của các vua chư-hầu hiện nay vậy.
195,6,8 Lỗ Dục Sử Thận Tử Vi Tướng Quân,8.Vua Lỗ muốn sai ông Thận Tử làm tướng quân (đánh nước Tề lấy lại đất).
195,7,Mạnh Tử Viết,Thầy Mạnh Tử nói :
197,0,Bất Giáo Dân Nhi Dụng Chi,"Không dạy dân kỹ thuật đánh trận mà đem ra dùng,"
197,1,Vị Chi Ương Dân Ương Dân Giả,"Thì gọi là giết dân, kẻ giết dân chúng,"
197,2,Bất Dung Ư Nghiêu Thuấn Chi Thế,"ở vào thời vua Nghiêu, vua Thuấn thì không có đất dung thân."
197,3,Nhất Chiến Thắng Tề Toại Hữu Nam Dương,"Như Thận Tử một trận đánh mà thắng nước Tề, lấy lại đất Nam Dương,"
197,4,Nhiên Thả Bất Khả,Theo tôi thì chẳng nên đánh.
197,5,Thận Tử Bột Nhiên Bất Duyệt,"Thận Tử nghe được đột nhiên không vừa lòng,"
197,6,Viết Thử Tắc Hoạt Ly Sở Bất Thức Dã,Đáp rằng : Thầy nói điều đó Hoạt Ly tôi không hiểu.
197,7,Viết Ngô Minh Cáo Tử,"Thầy Mạnh Tử nói : để tôi trình bài cho ông được rõ,"
199,0,Thiên Tử Chi Địa Phương Thiên Lý,* Đất đai của thiên-tử theo phép thì có diện tích 1000 dặm vuông ;
199,1,Bất Thiên Lý,"Nếu diện tích đất không đủ,"
199,2,Bất Túc Dĩ Đãi Chư Hầu,Thì không đủ (tài vật) tiếp đãi (ban thưởng cho) các chư-hầu.
199,3,Chư Hầu Chi Địa Phương Bách Lý,* Đất đai của vua chư chầu theo phép có diện tích 100 dặm vuông ;
199,4,Bất Bách Lý,"Nếu diện tích đất không đủ,"
199,5,Bất Túc Dĩ Thủ Tông Miếu Chi Điển Tịch,Thì không đủ (tài vật) lấy đi cúng tế tổ tiên nơi tông miếu.
199,6,Chu Công Chi Phong Ư Lỗ,"* Chu Công được phong đất ở nước Lỗ,"
199,7,Vi Phương Bách Lý Dã,theo phép có diện tích 100 dặm vuông ;
201,0,Địa Phi Bất Túc,"đất đai nước Lỗ chẳng phải không đủ (hay nhiều hơn 100 dặm vuông),"
201,1,Nhi Kiệm Ư Bách Lý,Nhưng theo phép thì thâu gọn lại 100 dặm vuông.
201,2,Thái Công Chi Phong Ư Tề Dã,"* Thái Công (Khương Tử Nha) được phong đất ở nước Tề,"
201,3,Diệc Vi Phương Bách Lý Dã,theo phép có diện tích 100 dặm vuông ;
201,4,Địa Phi Bất Túc Dã,"đất đai nước Tề chẳng phải không đủ (hay nhiều hơn 100 dặm vuông),"
201,5,Nhi Kiệm Ư Bách Lý,Nhưng theo phép thì thâu gọn lại 100 dặm vuông.
201,6,Kim Lỗ Phương Bách Lý Giả Ngũ,"Ngày nay đất đai nước Lỗ nhiều gấp 5 lần theo phép là 100 dặm vuông,"
201,7,Tử Dĩ Vi Hữu Vương Giả Tác,"Như ông nói có một bậc thánh vương xuất hiện,"
203,0,Tắc Lỗ Tại Sở Tổn Hồ,Thì đất đai nước Lỗ bị bớt đi ?
203,1,Tại Sở Ích Hồ,Hay được tăng thêm ?
203,2,Đồ Thủ Chư Bỉ Dĩ Dữ Thử,"Cướp của người nọ mà cho người kia,"
203,3,Nhiên Thả Nhân Giả Bất Vi,"Hẳn nhiên là người nhân không làm,"
203,4,Huống Ư Sát Nhân Dĩ Cầu Chi Hồ,Huống chi giết người mà lấy lại đất sao ?
203,5,Quân Tử Chi Sự Quân Dã,"Người quân-tử phụng sự giúp vua,"
203,6,Vụ Dẫn Kỳ Quân Dĩ Đương Đạo,"Cốt là hướng dẫn vua nương theo đạo lý,"
203,7,Chí Ư Nhân Nhi Dĩ,đặt hết ý chí vào điều nhân mà thôi.
205,0,9 Mạnh Tử Viết,9.Thầy Mạnh Tử nói rằng :
205,1,Kim Chi Sự Quân Giả,"Người thời nay phụng sự giúp vua,"
205,2,Giai Viết,Đều nói rằng :
205,3,Ngã Năng Vi Quân Tịch Thổ Địa,"* “Tôi có thể giúp vua mở mang đất đai,"
205,4,Sung Phủ Khố,Và tích góp kho tàng nhiều thêm.”
205,5,Kim Chi Sở Vị Lương Thần,"Hiện nay những người bề tôi đó được cho là tốt,"
205,6,Cổ Chi Sở Vị Dân Tặc Dã,Còn ngày xưa những bề tôi đó gọi là giặc hại dân.
205,7,Quân Bất Hướng Đạo Bất Chí Ư Nhân,"Vua không hướng theo đạo lý, không đặt ý chí vào điều nhân."
207,0,Nhi Cầu Phú Chi Thị Phú Kiệt Dã,"Mà chỉ cầu được giàu có, đó là cách làm giàu theo vua Kiệt bạo ngược."
207,1,Ngã Năng Vị Quân Ước Dữ Quốc,"* (Cũng có kẻ nói) “Tôi giúp vua liên minh với các nước hùng mạnh,"
